,objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class
1042,1237663784205025441,17.427857,0.0090940581,21.99519,20.53697,19.88781,19.43005,18.83474,0.09351338,1.594616,0.7789021,0.4250641,0.3080597,GALAXY
1043,1237658303280906292,168.35458,58.720601,19.05326,17.86968,17.60318,17.55156,17.51687,-7.275664e-05,1.163071,0.2335148,0.07389069,0.03076172,STAR
1044,1237666338652422345,17.365312,-0.58018877,19.87278,18.78722,18.21216,17.88119,17.53018,0.04666304,1.099522,0.5262547,0.3137207,0.2455788,GALAXY
1045,1237678598628835449,3.46460300000001,3.728397,21.90078,20.27116,19.07677,18.59519,18.1339,0.1981166,1.828793,1.192341,0.5028915,0.329771,GALAXY
1046,1237672839060784001,357.04111,5.7197098,25.88711,25.0733,22.74291,21.10015,20.23006,0.7312829,1.119751,2.759012,1.646738,0.8040123,GALAXY
1047,1237648721750655073,141.30462,0.29547948,19.12599,18.09392,17.63681,17.44038,17.32987,0.0002113422,1.030598,0.4572563,0.194128,0.1182079,STAR
1048,1237657070625685518,35.213927,-0.066950146,19.13187,16.86039,15.98149,15.59964,15.40192,9.438555e-05,2.30969,0.8448515,0.3486271,0.2490883,STAR
1049,1237651495221658414,121.95372,46.530263,25.7874,23.79586,22.08526,20.92722,19.92888,0.000333489,1.987137,1.921427,1.118774,0.9952164,STAR
1050,1237659118787560000,219.49597,48.865651,24.63958,22.85461,21.16863,19.27097,18.10829,-7.30067e-05,2.103966,1.747875,1.900789,1.163969,STAR
1051,1237674650997096569,167.79204,0.62517505,21.66402,20.38378,19.28986,18.91617,18.63807,0.02505315,1.681881,0.7661915,0.3852463,0.3376102,GALAXY
1052,1237663783668023390,17.085852,-0.24391417,21.39145,19.81336,19.01899,18.69552,18.21256,0.1238869,1.610518,0.9198418,0.4162598,0.3269615,GALAXY
1053,1237678620103934916,4.0112651,3.4122951,23.80754,23.85554,21.98363,20.97345,20.20523,0.6402119,-0.05655479,1.905151,0.9786873,0.6478615,GALAXY
1054,1237657221485625430,159.26257,54.733473,19.16097,16.91336,15.91127,15.58452,15.43376,-0.0002372431,2.256403,0.9515486,0.3474264,0.1709871,STAR
1055,1237648722299256971,168.03745,0.65944052,21.50965,19.97561,19.1349,18.79296,18.41843,0.0965984,1.423323,0.7780132,0.3842449,0.2752724,GALAXY
1056,1237657220412014827,160.31986,54.115193,20.271,17.57943,16.22895,15.56796,15.21277,-0.0001073717,2.691206,1.349495,0.6441402,0.3679304,STAR
1057,1237658203957297254,133.12544,35.811707,18.67628,17.63851,17.30083,17.179,17.12379,3.053734e-05,1.050896,0.3383446,0.1216831,0.04839325,STAR
